userId,timestamp,eventType,contentId,position_sec
U012,1788246133,PLAY,C005,2585
U007,1788246134,PLAY,C002,1880
U006,1788246135,PAUSE,C005,2297
U006,1788246136,PAUSE,C003,1653
U010,1788246137,SEEK,C002,2480
U009,1788246138,PAUSE,C003,3583
U007,1788246139,SEEK,C001,2881
U015,1788246140,PLAY,C004,3076
U013,1788246141,PAUSE,C002,3393
U013,1788246142,PLAY,C002,1395
U001,1788246143,SEEK,C001,889
U015,1788246144,SEEK,C002,3112
U001,1788246145,PAUSE,C001,3348
U011,1788246146,SEEK,C001,2399
U004,1788246147,PAUSE,C005,1985
U006,1788246148,PLAY,C004,3148
U007,1788246149,SEEK,C004,491
U011,1788246150,PAUSE,C002,439
U015,1788246151,PAUSE,C001,1128
U012,1788246152,SEEK,C002,2023
U011,1788246153,PAUSE,C005,2257
U003,1788246154,SEEK,C005,1416
U014,1788246155,PAUSE,C002,2342
U014,1788246156,PLAY,C003,3127
U014,1788246157,PAUSE,C002,44
U001,1788246158,SEEK,C002,1895
U015,1788246159,SEEK,C003,2549
U012,1788246160,PLAY,C005,535
U005,1788246161,SEEK,C001,3443
U015,1788246162,PLAY,C005,2570
U006,1788246163,PLAY,C003,202
U011,1788246164,SEEK,C002,581
U009,1788246165,PAUSE,C003,2257
U002,1788246166,PAUSE,C004,320
U007,1788246167,PLAY,C005,2663
U008,1788246168,PLAY,C003,2799
U012,1788246169,PAUSE,C001,747
U009,1788246170,PAUSE,C001,22
U012,1788246171,PAUSE,C002,1233
U009,1788246172,SEEK,C003,2794
U002,1788246173,SEEK,C003,3189
U009,1788246174,SEEK,C003,2898
U001,1788246175,SEEK,C001,3593
U002,1788246176,SEEK,C002,1329
U006,1788246177,PAUSE,C002,1764
U014,1788246178,PLAY,C005,1353
U010,1788246179,SEEK,C003,2529
U013,1788246180,PAUSE,C005,1613
U004,1788246181,SEEK,C004,1697
U004,1788246182,PAUSE,C004,3453
